;Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
0;201300000001;13;2;19;1715;1;2;1;1.0;3;52;50 Rue de la Gare;M;5051199.0;290046.0;590
1;201300000002;13;3;22;1815;1;1;1;1.0;6;303;Rte Nationale;M;5057012.0;285665.0;590
2;201300000003;13;4;1;1600;1;1;1;1.0;1;524;Rue du 08 Mai;M;5057551.0;290108.0;590
3;201300000004;13;4;19;1330;1;2;1;1.0;7;388;rue du Moisnil;M;5055123.0;285591.0;590
4;201300000005;13;4;27;2015;1;2;1;1.0;6;250;50 Rue Bonne Espérance;M;5058871.0;289037.0;590
5;201300000006;13;5;25;1645;1;1;1;1.0;3;524;Rue du 8 Mai;M;5057455.0;289941.0;590
6;201300000007;13;6;17;830;1;1;6;1.0;7;653;GIRATOIRE RN 41 / RD145;M;5058432.0;290833.0;590
7;201300000008;13;7;3;130;4;2;1;3.0;6;257;ROUTE D HERLIES;M;5060445.0;285308.0;590
8;201300000009;13;8;15;1930;1;1;1;1.0;2;320;NATIONALE  ( ROUTE);M;5056300.0;283800.0;590
9;201300000010;13;9;4;115;3;2;6;1.0;6;51;Rte de Lille;M;5054131.0;281936.0;590
10;201300000011;13;12;7;945;1;2;1;1.0;6;51;rue Jean Baptiste Lebas;M;0.0;0.0;590
11;201300000012;13;4;11;815;1;1;1;2.0;6;71;05 rue de la Carcasse;M;5047119.0;314086.0;590
12;201300000014;13;6;7;1815;1;1;1;1.0;3;466;rue d'Avelin;M;5052635.0;310415.0;590
13;201300000017;13;5;13;1800;1;2;3;1.0;3;452;193 Ave Maréchal Leclerc;M;;;590
14;201300000018;13;6;17;2145;2;1;1;1.0;7;630;;M;5046821.0;302304.0;590
15;201300000019;13;7;21;715;1;2;1;1.0;6;452;256 rue Emile Zola;M;5045080.0;303743.0;590
16;201300000020;13;7;25;1915;1;2;9;1.0;5;452;315 Rue Florent EVRARD;M;5045754.0;303307.0;590
17;201300000021;13;8;3;1000;1;2;1;1.0;7;452;Rue du Prof Calmette;M;5046030.0;302200.0;590
18;201300000022;13;9;5;1745;1;2;1;1.0;7;452;Av du Maréchal Leclerc;M;5045796.0;302752.0;590
19;201300000023;13;12;5;700;2;1;1;9.0;7;592;Rue Emile Zola;M;5047946.0;307460.0;590
20;201300000024;13;5;8;1215;1;1;2;1.0;3;130;;M;5089681.0;223755.0;590
21;201300000025;13;5;3;1315;1;1;1;1.0;7;663;route de WYLDER;M;5089935.0;248959.0;590
22;201300000026;13;7;15;1645;1;2;1;7.0;6;210;22 rue de Bergues;M;5088696.0;243254.0;590
23;201300000027;13;9;1;1100;1;1;1;1.0;1;89;Rte de Saint-Omer;M;5084681.0;233245.0;590
24;201300000028;13;1;3;1930;3;1;1;2.0;4;416;60 Le Grand HASARD;M;5070614.0;252580.0;590
25;201300000029;13;1;16;1830;5;2;1;4.0;6;634;D642, route nationale;M;5072975.0;247554.0;590
26;201300000030;13;3;20;1730;1;1;1;1.0;6;416;"Lieu dit ""Le Grd HAZARD""";M;5070596.0;252565.0;590
27;201300000032;13;4;14;915;1;1;1;1.0;6;469;27 rue du Cateau;M;5074097.0;261988.0;590
28;201300000033;13;5;14;1415;1;2;1;1.0;6;497;94 Rue de Saint-Omer;M;5073069.0;236252.0;590
29;201300000034;13;5;18;1630;1;1;1;1.0;6;84;;M;5069768.0;246349.0;590
30;201300000035;13;6;4;1015;1;1;1;1.0;6;497;rue de Thérouanne;M;5071759.0;237675.0;590
31;201300000036;13;6;16;200;3;1;1;1.0;7;84;Rte Nationale;M;5068474.0;237396.0;590
32;201300000037;13;6;30;1915;1;1;1;1.0;5;120;Route de BAILLEUL;M;5075451.0;263612.0;590
33;201300000038;13;8;13;1730;1;1;1;1.0;1;84;rue de Saint-Omer;M;5070210.0;242089.0;590
34;201300000039;13;10;25;730;2;1;1;2.0;2;308;Rte d'Hazebrouck;M;5074426.0;252601.0;590
35;201300000040;13;6;30;1600;1;1;1;1.0;3;401;3146 rte d Mont des Cats;M;5076390.0;266835.0;590
36;201300000041;13;2;13;730;2;1;1;1.0;3;581;67 Rue du Musée;M;5069908.0;276821.0;590
37;201300000042;13;2;15;1730;2;2;1;1.0;3;268;48 rue de la Gendarmerie;M;5063785.0;271914.0;590
38;201300000043;13;7;7;1100;1;1;1;1.0;7;581;Rue de la Place Brûlée;M;5067441.0;275230.0;590
39;201300000044;13;7;30;1900;1;1;1;2.0;5;268;2426 Rue du Grand Chemin;M;5062061.0;274462.0;590
40;201300000045;13;8;25;1615;1;2;3;7.0;3;212;Rue de Lille;M;5064343.0;272985.0;590
41;201300000046;13;10;24;1915;3;1;1;2.0;3;581;le Grand Chemin;M;5069292.0;275595.0;590
42;201300000047;13;11;9;1100;1;1;1;1.0;1;180;rue de la Roestrate;M;5069183.0;267081.0;590
43;201300000048;13;6;11;1700;1;1;1;1.0;7;423;rue d'Estaires;M;5067544.0;265633.0;590
44;201300000049;13;9;2;1800;1;1;1;1.0;1;400;486 Rte d'Estaires;M;5064278.0;267879.0;590
45;201300000050;13;10;4;800;1;2;1;1.0;1;400;Rue Duhamel Liard;M;5063939.0;263502.0;590
46;201300000051;13;11;4;1845;5;2;1;1.0;6;400;4 rue des Prêtres;M;5064288.0;263754.0;590
47;201300000053;13;1;24;445;3;1;1;9.0;6;262;Route de Poperinghe;M;5081350.0;266609.0;590
48;201300000054;13;3;10;1700;2;1;1;2.0;6;135;Ave Achille Samyn;M;5080074.0;247242.0;590
49;201300000055;13;3;11;1700;1;2;6;4.0;6;546;Rond point de l'hazewind;M;5077412.0;256235.0;590
50;201300000056;13;5;12;1600;1;2;1;1.0;7;135;rue d'aire;M;5079363.0;248167.0;590
51;201300000057;13;6;6;1030;1;1;1;1.0;7;135;Ave Achille SAMYN;M;5080071.0;247129.0;590
52;201300000059;13;6;29;1400;1;1;1;1.0;7;436;chemin du Ton;M;5080470.0;240803.0;590
53;201300000060;13;8;3;1530;1;1;1;1.0;3;318;Rte Nationale;M;5086173.0;257090.0;590
54;201300000061;13;8;4;845;1;1;6;1.0;7;580;Rte de Poperinghe;M;5081154.0;261393.0;590
55;201300000062;13;8;21;1000;1;1;1;1.0;3;546;Rte de Steenvoorde;M;5078438.0;256454.0;590
56;201300000063;13;8;21;1945;1;1;1;1.0;6;587;Rte d'Hazebrouck;M;5080333.0;257769.0;590
57;201300000066;13;3;15;1415;1;1;1;8.0;1;44;Rue de Saint-Amand;M;5059635.0;323009.0;590
58;201300000067;13;4;12;1545;1;2;1;1.0;1;660;19 rue de la République;M;5062940.0;323795.0;590
59;201300000070;13;4;28;1730;1;1;1;1.0;6;168;chemin du bois;M;5056147.0;322013.0;590
60;201300000071;13;5;31;1345;1;1;1;1.0;1;523;2300 rue de Lille;M;5058999.0;315599.0;590
61;201300000073;13;8;29;1845;1;1;1;1.0;1;168;Rte de Genech;M;5054257.0;320943.0;590
62;201300000074;13;11;26;830;2;2;1;8.0;3;258;rue connynck;M;0.0;0.0;590
63;201300000075;13;5;16;815;1;1;1;2.0;3;611;Rue de Messines;M;5067859.0;301107.0;590
64;201300000077;13;12;3;2000;3;1;1;5.0;1;252;;M;0.0;0.0;590
65;201300000078;13;12;25;1300;1;1;1;1.0;3;173;;M;5073500.0;295000.0;590
66;201300000079;13;3;11;1145;1;1;1;4.0;6;559;;M;5035197.0;362403.0;590
67;201300000080;13;3;29;1145;1;1;1;1.0;3;38;Rte départementale;M;5026055.0;336319.0;590
68;201300000081;13;12;14;1745;5;2;1;8.0;1;92;ave John Fitzgerald Kenn;M;5028584.0;331475.0;590
69;201300000082;13;2;18;1530;1;1;1;1.0;3;181;;M;0.0;0.0;590
70;201300000083;13;3;16;2345;3;1;2;2.0;3;529;Carrefour de l'espèrance;M;5018121.0;391836.0;590
71;201300000084;13;4;22;1000;1;1;1;7.0;1;181;Rte Nationale;M;5018196.0;395219.0;590
72;201300000085;13;5;7;1100;1;2;1;1.0;1;36;avenue de la gare;M;5012651.0;393201.0;590
73;201300000086;13;7;28;1945;1;1;1;1.0;6;93;Rte d'Avesnes;M;5008057.0;388814.0;590
74;201300000088;13;1;30;2200;5;2;1;1.0;6;659;10 RUE DE VERDUN;M;5001515.0;401228.0;590
75;201300000089;13;4;28;1530;1;2;1;1.0;1;249;RUE SAINT LOUIS;M;5001523.0;404727.0;590
76;201300000090;13;6;3;1015;1;2;1;1.0;6;659;20 rue Edmond Koral;M;5002719.0;401457.0;590
77;201300000091;13;6;10;1700;1;1;1;1.0;3;249;;M;5002881.0;402826.0;590
78;201300000092;13;8;15;1115;1;2;1;1.0;1;659;23 rue de Verdun;M;5001505.0;401340.0;590
79;201300000093;13;9;22;1845;1;2;1;1.0;3;249;rue Fernand Pêcheux;M;5001681.0;406773.0;590
80;201300000094;13;9;24;1830;1;2;1;1.0;2;659;62 rue de verdun;M;5001783.0;402647.0;590
81;201300000095;13;11;2;345;5;2;1;2.0;6;249;7 rue des Rouets;M;5001427.0;404379.0;590
82;201300000096;13;8;11;330;3;1;1;1.0;6;331;route d'happegarbes;M;5011771.0;364900.0;590
83;201300000098;13;8;21;1615;1;2;1;1.0;3;331;place des anglais;M;5013100.0;368900.0;590
84;201300000099;13;8;21;2000;1;1;1;1.0;7;384;rue du Faux;M;5013088.0;379392.0;590
85;201300000101;13;9;6;1530;1;2;1;1.0;3;331;Avenue villars;M;5012356.0;369209.0;590
86;201300000102;13;9;7;2000;3;1;1;1.0;6;461;Lieu dit Les Hayettes;M;5008693.0;380811.0;590
87;201300000104;13;10;26;530;5;2;1;2.0;6;601;rue victor hugo;M;5005856.0;410583.0;590
88;201300000105;13;11;23;1530;1;1;1;1.0;3;562;Rue Nationale;M;5009269.0;399106.0;590
89;201300000106;13;12;3;1515;1;2;1;1.0;6;601;1 rue des champs;M;5005759.0;410572.0;590
90;201300000107;13;3;22;2045;3;2;1;1.0;7;552;CD643;M;5020980.0;318999.0;590
91;201300000108;13;4;13;1300;1;2;1;1.0;6;322;28 rue Pasteur;M;5023707.0;331843.0;590
92;201300000109;13;6;4;1330;1;1;3;1.0;1;552;;M;5021602.0;318108.0;590
