;Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
0;201300000001;0;7;0;0.0;0.0;6.0;10.0;A01
1;201300000001;0;31;0;0.0;2.0;1.0;1.0;B02
2;201300000002;0;33;0;0.0;0.0;8.0;11.0;A01
3;201300000003;0;7;0;0.0;0.0;0.0;17.0;A01
4;201300000003;0;33;0;0.0;2.0;9.0;17.0;B02
5;201300000004;0;7;0;0.0;0.0;1.0;1.0;A01
6;201300000005;0;7;0;0.0;1.0;7.0;19.0;A01
7;201300000006;0;7;0;0.0;2.0;8.0;13.0;B02
8;201300000006;0;33;0;0.0;2.0;7.0;17.0;A01
9;201300000007;0;15;0;0.0;0.0;0.0;9.0;A01
10;201300000008;0;30;0;8.0;0.0;0.0;14.0;A01
11;201300000009;0;33;0;0.0;2.0;2.0;1.0;A01
12;201300000009;0;7;0;0.0;2.0;6.0;17.0;B02
13;201300000010;0;33;0;12.0;0.0;3.0;1.0;A01
14;201300000011;0;7;0;0.0;1.0;1.0;1.0;A01
15;201300000012;0;7;0;13.0;0.0;2.0;1.0;A01
16;201300000014;0;33;0;0.0;2.0;1.0;17.0;B02
17;201300000014;0;10;0;0.0;2.0;3.0;13.0;A01
18;201300000017;0;31;0;0.0;0.0;1.0;17.0;A01
19;201300000017;0;7;0;0.0;0.0;1.0;15.0;B02
20;201300000018;0;7;0;13.0;0.0;3.0;17.0;A01
21;201300000019;0;7;0;6.0;0.0;1.0;1.0;A01
22;201300000020;0;30;0;0.0;2.0;1.0;1.0;B02
23;201300000020;0;7;0;0.0;2.0;2.0;15.0;A01
24;201300000020;0;7;0;0.0;2.0;8.0;24.0;C03
25;201300000021;0;30;0;8.0;0.0;1.0;1.0;A01
26;201300000022;0;30;0;12.0;0.0;1.0;1.0;A01
27;201300000023;0;7;0;13.0;0.0;1.0;2.0;A01
28;201300000024;0;7;0;0.0;2.0;3.0;19.0;B02
29;201300000024;0;7;0;0.0;2.0;2.0;1.0;A01
30;201300000025;0;33;0;13.0;0.0;0.0;0.0;A01
31;201300000026;0;1;0;12.0;0.0;1.0;0.0;A01
32;201300000027;0;33;0;0.0;2.0;1.0;1.0;B02
33;201300000027;0;10;0;0.0;2.0;3.0;15.0;A01
34;201300000028;0;7;0;0.0;2.0;1.0;2.0;A01
35;201300000028;0;7;0;0.0;2.0;4.0;23.0;B02
36;201300000028;0;7;0;0.0;2.0;4.0;23.0;C03
37;201300000029;0;7;0;0.0;1.0;3.0;1.0;A01
38;201300000030;0;7;0;2.0;0.0;3.0;19.0;A01
39;201300000032;0;7;0;13.0;0.0;3.0;13.0;A01
40;201300000033;0;16;0;0.0;2.0;3.0;13.0;A01
41;201300000033;0;7;0;0.0;2.0;1.0;1.0;B02
42;201300000034;0;7;0;0.0;0.0;1.0;1.0;A01
43;201300000035;0;13;0;13.0;0.0;3.0;13.0;A01
44;201300000036;0;7;0;0.0;0.0;0.0;1.0;A01
45;201300000037;0;10;0;0.0;2.0;3.0;13.0;A01
46;201300000037;0;33;0;0.0;2.0;1.0;1.0;B02
47;201300000037;0;7;0;0.0;2.0;6.0;1.0;C03
48;201300000038;0;7;0;0.0;2.0;3.0;1.0;A01
49;201300000038;0;7;0;0.0;2.0;3.0;1.0;B02
50;201300000039;0;30;0;0.0;2.0;6.0;2.0;A01
51;201300000039;0;7;0;0.0;2.0;2.0;2.0;B02
52;201300000040;0;7;0;0.0;2.0;1.0;1.0;B02
53;201300000040;0;7;0;0.0;2.0;8.0;15.0;A01
54;201300000041;0;30;0;0.0;2.0;8.0;1.0;B02
55;201300000041;0;14;0;0.0;2.0;3.0;15.0;A01
56;201300000042;0;2;0;0.0;2.0;2.0;17.0;A01
57;201300000042;0;7;0;0.0;2.0;3.0;15.0;B02
58;201300000043;0;7;0;0.0;0.0;1.0;1.0;A01
59;201300000044;0;10;0;0.0;2.0;9.0;1.0;B02
60;201300000044;0;10;0;0.0;2.0;1.0;1.0;C03
61;201300000044;0;10;0;0.0;2.0;1.0;1.0;D04
62;201300000044;0;10;0;0.0;0.0;4.0;16.0;A01
63;201300000045;0;10;0;0.0;2.0;1.0;15.0;B02
64;201300000045;0;7;0;0.0;2.0;2.0;1.0;A01
65;201300000046;0;7;0;0.0;2.0;3.0;19.0;B02
66;201300000046;0;31;0;0.0;2.0;1.0;1.0;A01
67;201300000047;0;2;0;0.0;2.0;1.0;1.0;B02
68;201300000047;0;7;0;0.0;2.0;1.0;13.0;A01
69;201300000048;0;33;0;2.0;0.0;0.0;17.0;A01
70;201300000049;0;7;0;0.0;2.0;1.0;1.0;B02
71;201300000049;0;7;0;0.0;2.0;7.0;1.0;A01
72;201300000050;0;1;0;0.0;2.0;1.0;21.0;B02
73;201300000050;0;30;0;12.0;2.0;1.0;14.0;A01
74;201300000051;0;7;0;0.0;1.0;2.0;1.0;A01
75;201300000053;0;7;0;2.0;0.0;7.0;14.0;A01
76;201300000054;0;7;0;13.0;0.0;1.0;1.0;A01
77;201300000055;0;7;0;0.0;1.0;1.0;21.0;A01
78;201300000056;0;1;0;0.0;0.0;1.0;1.0;A01
79;201300000057;0;32;0;0.0;0.0;1.0;1.0;A01
80;201300000059;0;33;0;0.0;0.0;0.0;1.0;A01
81;201300000060;0;33;0;0.0;2.0;1.0;1.0;B02
82;201300000060;0;7;0;0.0;2.0;8.0;15.0;A01
83;201300000061;0;7;0;16.0;0.0;1.0;1.0;A01
84;201300000062;0;7;0;0.0;2.0;3.0;15.0;B02
85;201300000062;0;33;0;0.0;2.0;1.0;17.0;A01
86;201300000063;0;7;0;6.0;0.0;1.0;1.0;A01
87;201300000066;0;7;0;0.0;2.0;3.0;17.0;B02
88;201300000066;0;7;0;0.0;2.0;3.0;1.0;A01
89;201300000067;0;2;0;0.0;2.0;1.0;1.0;B02
90;201300000067;0;7;0;0.0;2.0;3.0;15.0;A01
91;201300000070;0;33;0;13.0;0.0;1.0;16.0;A01
92;201300000071;0;33;0;0.0;2.0;1.0;1.0;A01
93;201300000071;0;10;0;0.0;2.0;3.0;11.0;B02
94;201300000073;0;33;0;0.0;2.0;1.0;13.0;A01
95;201300000073;0;7;0;0.0;2.0;1.0;1.0;B02
96;201300000074;0;2;0;0.0;2.0;1.0;1.0;B02
97;201300000074;0;7;0;0.0;2.0;3.0;15.0;A01
98;201300000075;0;7;0;0.0;2.0;3.0;9.0;A01
99;201300000075;0;32;0;0.0;2.0;1.0;3.0;B02
100;201300000077;0;7;0;0.0;2.0;1.0;1.0;B02
101;201300000077;0;30;0;0.0;2.0;1.0;13.0;A01
102;201300000078;0;7;0;0.0;2.0;7.0;1.0;A01
103;201300000078;0;7;0;0.0;2.0;1.0;1.0;B02
104;201300000079;0;7;0;16.0;2.0;1.0;13.0;A01
105;201300000080;0;7;0;0.0;2.0;7.0;13.0;A01
106;201300000080;0;10;0;0.0;2.0;1.0;1.0;B02
107;201300000081;0;7;0;0.0;2.0;2.0;15.0;A01
108;201300000081;0;7;0;0.0;2.0;1.0;1.0;B02
109;201300000082;0;33;0;16.0;2.0;0.0;17.0;A01
110;201300000082;0;7;0;0.0;0.0;6.0;17.0;B02
111;201300000083;0;7;0;0.0;2.0;1.0;1.0;B02
112;201300000083;0;7;0;0.0;2.0;5.0;19.0;A01
113;201300000084;0;15;0;0.0;2.0;3.0;1.0;B02
114;201300000084;0;7;0;0.0;2.0;3.0;13.0;A01
115;201300000085;0;1;0;0.0;2.0;7.0;1.0;B02
116;201300000085;0;7;0;0.0;2.0;4.0;20.0;A01
117;201300000086;0;7;0;15.0;0.0;1.0;16.0;A01
118;201300000088;0;7;0;6.0;0.0;2.0;0.0;A01
119;201300000089;0;30;0;0.0;2.0;1.0;1.0;B02
120;201300000089;0;7;0;0.0;2.0;5.0;15.0;A01
121;201300000090;0;33;0;9.0;0.0;1.0;1.0;A01
122;201300000091;0;7;0;0.0;2.0;1.0;19.0;B02
123;201300000091;0;7;0;0.0;2.0;3.0;1.0;A01
124;201300000092;0;1;0;0.0;2.0;4.0;2.0;B02
125;201300000092;0;7;0;0.0;9.0;2.0;2.0;A01
126;201300000093;0;31;0;0.0;2.0;7.0;1.0;A01
127;201300000093;0;7;0;0.0;2.0;1.0;15.0;B02
128;201300000094;0;7;0;0.0;0.0;6.0;20.0;B02
129;201300000094;0;30;0;0.0;2.0;1.0;1.0;A01
130;201300000095;0;10;0;6.0;0.0;2.0;1.0;A01
131;201300000096;0;7;0;0.0;0.0;1.0;14.0;A01
132;201300000098;0;7;0;0.0;2.0;5.0;15.0;A01
133;201300000098;1;31;0;0.0;2.0;1.0;1.0;B02
134;201300000099;0;31;0;0.0;0.0;0.0;1.0;A01
135;201300000101;0;15;0;0.0;2.0;7.0;1.0;B02
136;201300000101;0;30;0;0.0;2.0;1.0;1.0;A01
137;201300000102;0;7;0;8.0;0.0;1.0;1.0;A01
138;201300000104;0;14;0;2.0;0.0;1.0;1.0;A01
139;201300000105;0;7;0;0.0;0.0;3.0;15.0;A01
140;201300000105;0;30;0;0.0;2.0;1.0;1.0;B02
141;201300000106;0;7;0;0.0;1.0;2.0;16.0;A01
142;201300000107;0;30;0;0.0;0.0;0.0;0.0;A01
143;201300000108;0;10;0;0.0;1.0;1.0;21.0;A01
144;201300000109;0;10;0;0.0;2.0;2.0;1.0;B02
145;201300000109;0;7;0;0.0;2.0;3.0;15.0;A01
146;201300000110;0;7;0;0.0;2.0;3.0;9.0;A01
147;201300000110;0;2;0;0.0;2.0;1.0;1.0;B02
148;201300000111;0;7;0;0.0;0.0;2.0;1.0;A01
149;201300000112;1;7;0;0.0;1.0;1.0;1.0;A01
150;201300000113;0;7;0;0.0;1.0;1.0;1.0;A01
151;201300000116;0;7;0;6.0;0.0;2.0;1.0;A01
152;201300000118;0;7;0;11.0;0.0;3.0;1.0;B02
153;201300000118;0;30;0;11.0;0.0;1.0;5.0;A01
154;201300000119;0;7;0;0.0;2.0;3.0;15.0;A01
155;201300000119;0;31;0;0.0;2.0;1.0;17.0;B02
156;201300000120;0;7;0;0.0;2.0;3.0;13.0;A01
157;201300000120;0;30;0;0.0;2.0;3.0;1.0;B02
158;201300000121;0;7;0;0.0;1.0;1.0;1.0;A01
159;201300000122;0;30;0;1.0;0.0;1.0;2.0;A01
160;201300000122;0;7;0;1.0;0.0;3.0;0.0;B02
161;201300000123;0;7;0;0.0;2.0;2.0;10.0;A01
162;201300000123;0;2;0;0.0;2.0;7.0;1.0;B02
163;201300000124;0;7;0;0.0;2.0;3.0;23.0;B02
164;201300000124;0;7;0;1.0;2.0;3.0;1.0;A01
165;201300000125;0;7;0;0.0;0.0;8.0;9.0;A01
166;201300000125;0;2;0;0.0;2.0;1.0;1.0;B02
167;201300000126;1;30;0;1.0;1.0;1.0;0.0;A01
168;201300000127;1;7;0;0.0;1.0;2.0;1.0;A01
169;201300000128;0;7;0;0.0;0.0;1.0;0.0;B02
170;201300000128;0;7;0;0.0;0.0;1.0;0.0;A01
171;201300000129;0;7;0;0.0;2.0;2.0;10.0;A01
172;201300000129;0;30;0;0.0;0.0;2.0;1.0;B02
173;201300000130;0;7;0;0.0;1.0;1.0;1.0;A01
174;201300000131;0;10;0;0.0;9.0;2.0;1.0;A01
175;201300000131;0;1;0;0.0;2.0;4.0;0.0;B02
176;201300000132;0;7;0;0.0;1.0;1.0;15.0;A01
177;201300000133;0;7;0;0.0;1.0;2.0;1.0;A01
178;201300000134;0;7;0;6.0;0.0;3.0;1.0;A01
179;201300000135;0;2;0;14.0;0.0;1.0;1.0;A01
180;201300000136;0;7;0;2.0;0.0;3.0;14.0;A01
181;201300000137;0;7;0;0.0;2.0;1.0;1.0;A01
182;201300000137;0;7;0;0.0;2.0;8.0;1.0;B02
183;201300000138;0;15;0;0.0;2.0;6.0;1.0;B02
184;201300000138;0;7;0;0.0;2.0;3.0;1.0;A01
185;201300000139;0;10;0;0.0;2.0;1.0;19.0;C03
186;201300000139;0;20;0;0.0;2.0;1.0;1.0;A01
187;201300000139;0;38;0;0.0;2.0;1.0;1.0;B02
188;201300000140;0;1;0;0.0;2.0;0.0;1.0;A01
189;201300000140;0;1;0;0.0;2.0;0.0;1.0;B02
190;201300000142;0;1;0;0.0;1.0;1.0;5.0;A01
191;201300000143;0;7;0;10.0;0.0;1.0;1.0;A01
192;201300000144;0;7;0;0.0;2.0;3.0;1.0;C03
193;201300000144;0;7;0;0.0;2.0;1.0;1.0;B02
194;201300000144;0;7;0;0.0;2.0;2.0;1.0;A01
195;201300000145;0;36;0;0.0;0.0;1.0;1.0;A01
196;201300000146;0;7;0;0.0;2.0;8.0;1.0;B02
197;201300000146;0;7;0;0.0;2.0;8.0;13.0;A01
