;Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
0;201700000001;3;39;;;2.0;2.0;;;2.0;1.0;1.0;0.0;70.0;1.0;0.0;1.0;99.0
1;201700000002;3;39;;;2.0;2.0;;;0.0;1.0;0.0;6.0;10.0;1.0;;;
2;201700000003;3;39;;;2.0;2.0;;;0.0;1.0;0.0;0.0;10.0;1.0;;;
3;201700000004;3;39;;D;2.0;2.0;;;0.0;1.0;0.0;0.0;10.0;1.0;;;
4;201700000005;3;39;;;2.0;2.0;;;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;99.0
5;201700000006;3;41;;C;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
6;201700000008;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
7;201700000009;3;41;;C;2.0;2.0;;;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;99.0
8;201700000010;2;41;;;3.0;4.0;;;0.0;1.0;0.0;0.0;20.0;1.0;;;
9;201700000011;3;641;;;2.0;2.0;;;2.0;1.0;0.0;0.0;10.0;1.0;;;
10;201700000013;3;22;;;2.0;2.0;;;0.0;1.0;0.0;0.0;20.0;1.0;;;
11;201700000014;3;145;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;2.0;0.0;1.0;99.0
12;201700000015;3;19;;;2.0;2.0;;;1.0;1.0;3.0;0.0;0.0;7.0;0.0;1.0;99.0
13;201700000016;3;655;;;2.0;2.0;2.0;620.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
14;201700000017;3;19;;;2.0;2.0;;;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;99.0
15;201700000018;3;549;;;2.0;2.0;;;0.0;1.0;0.0;0.0;10.0;1.0;;;
16;201700000019;3;54;;;2.0;2.0;;;0.0;1.0;0.0;0.0;15.0;1.0;;;
17;201700000020;3;54;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
18;201700000021;3;549;;;2.0;2.0;;;0.0;1.0;0.0;9.0;10.0;1.0;;;
19;201700000022;3;94;;;2.0;2.0;;;0.0;1.0;0.0;0.0;10.0;1.0;;;
20;201700000023;3;54;;A;2.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;66.0;1.0;0.0;1.0;99.0
21;201700000024;3;943;;D;2.0;2.0;;;0.0;4.0;2.0;0.0;61.0;1.0;0.0;3.0;99.0
22;201700000025;3;943;;B;2.0;2.0;6.0;22.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;99.0
23;201700000026;3;53;;;2.0;2.0;4.0;605.0;0.0;1.0;0.0;0.0;10.0;1.0;;;
24;201700000027;3;916;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;99.0
